## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT Tryp-T.congolese_aligned_sorted.bam --OUTPUT marked_dups.bam --METRICS_FILE marked_dups_metrics.txt --REMOVE_DUPLICATES true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jul 05 17:32:55 EAT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Tryp-T70_S4	60	5884097	45639	98	40	348014	633	0.059148	47841944
Tryp-B87_S2	19	1019920	341	83	12	35292	57	0.034608	14417814

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	6271605	0	6272216
2.0	196611	680	196050
3.0	30196	5	30158
4.0	9897	0	9887
5.0	4425	0	4430
6.0	2378	0	2373
7.0	1564	0	1565
8.0	962	0	959
9.0	628	0	630
10.0	472	0	470
11.0	344	0	344
12.0	241	0	241
13.0	179	0	179
14.0	141	0	141
15.0	136	0	136
16.0	99	0	99
17.0	97	0	97
18.0	89	0	89
19.0	53	0	53
20.0	57	0	57
21.0	50	0	50
22.0	43	0	43
23.0	30	0	30
24.0	34	0	34
25.0	24	0	24
26.0	17	0	17
27.0	28	0	28
28.0	19	0	19
29.0	19	0	19
30.0	20	0	20
31.0	11	0	11
32.0	8	0	8
33.0	13	0	13
34.0	10	0	10
35.0	19	0	19
36.0	10	0	10
37.0	9	0	9
38.0	13	0	13
39.0	11	0	11
40.0	4	0	4
41.0	5	0	5
42.0	11	0	11
43.0	3	0	3
44.0	5	0	5
45.0	5	0	5
46.0	4	0	4
47.0	4	0	4
48.0	3	0	3
49.0	2	0	2
50.0	2	0	2
51.0	3	0	3
52.0	2	0	2
53.0	1	0	1
54.0	4	0	4
55.0	2	0	2
56.0	3	0	3
57.0	4	0	4
58.0	6	0	6
60.0	2	0	2
61.0	4	0	4
63.0	1	0	1
64.0	4	0	4
65.0	4	0	4
66.0	3	0	3
67.0	2	0	2
68.0	2	0	2
70.0	0	0	1
71.0	3	0	2
72.0	1	0	1
73.0	2	0	2
74.0	2	0	2
75.0	1	0	1
76.0	1	0	1
77.0	2	0	2
78.0	1	0	1
79.0	1	0	1
80.0	1	0	1
81.0	1	0	1
82.0	1	0	1
83.0	1	0	1
85.0	1	0	1
86.0	1	0	1
90.0	1	0	1
91.0	1	0	1
92.0	1	0	1
94.0	1	0	1
96.0	1	0	1
98.0	1	0	1
99.0	1	0	1
100.0	1	0	1
101.0	1	0	1
103.0	1	0	1
106.0	1	0	1
107.0	1	0	1
108.0	1	0	1
121.0	1	0	1
122.0	1	0	1
128.0	1	0	1
130.0	1	0	1
133.0	1	0	1
142.0	1	0	1
160.0	1	0	1
164.0	1	0	1
188.0	2	0	2
191.0	1	0	1
192.0	1	0	1
196.0	1	0	1
216.0	1	0	1
246.0	1	0	1
259.0	1	0	1
346.0	1	0	1
369.0	1	0	1
412.0	1	0	1
527.0	1	0	1
817.0	1	0	1

