# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
TcIL3000.11.10	TcIL3000.11.10	TcIL3000.11.10.1	protein_coding	1	12	7	98	0	0	0	0	0	3	1	0	0	7	0	0	0	0	0	0	0	0	12	95
TcIL3000.11.100	TcIL3000.11.100	TcIL3000.11.100.1	protein_coding	2	7	2	142	0	0	0	0	0	75	2	0	0	2	0	0	0	0	0	1	0	0	7	67
TcIL3000.11.1000	TcIL3000.11.1000	TcIL3000.11.1000.1	protein_coding	0	8	1	110	0	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	8	69
TcIL3000.11.10000	TcIL3000.11.10000	TcIL3000.11.10000.1	protein_coding	0	1	0	54	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	1	18
TcIL3000.11.10010	TcIL3000.11.10010	TcIL3000.11.10010.1	protein_coding	1	2	2	59	0	0	2	0	0	30	0	0	0	1	0	0	0	0	0	1	0	0	2	29
TcIL3000.11.10020	TcIL3000.11.10020	TcIL3000.11.10020.1	protein_coding	0	2	0	56	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2	32
TcIL3000.11.10030	TcIL3000.11.10030	TcIL3000.11.10030.1	protein_coding	0	8	9	27	0	0	0	0	0	18	0	0	0	9	0	0	0	0	0	0	0	0	8	9
TcIL3000.11.10040	TcIL3000.11.10040	TcIL3000.11.10040.1	protein_coding	0	2	1	41	0	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	2	9
TcIL3000.11.10050	TcIL3000.11.10050	TcIL3000.11.10050.1	protein_coding	1	0	0	38	0	0	1	0	0	31	0	0	0	0	0	0	0	0	0	1	0	0	0	7
TcIL3000.11.10070	TcIL3000.11.10070	TcIL3000.11.10070.1	protein_coding	0	0	0	35	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	11
